Tipo, Título, Data, Relator, Sumário, Processo, Tipo de Processo, Interessado / Responsável / Recorrente, Entidade, Representante do Ministério Público, Unidade Técnica, Representante Legal, Assunto, Endereço do Arquivo
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 219/2026 ATA 3/2026 - PLENÁRIO", "04/02/2026", "ANTONIO ANASTASIA", "", "000.006/2026-2", "REPRESENTAÇÃO (REPR)", " GSI Serviços Especializados Ltda. (CNPJ 15.219.654/0001-88).", " Tribunal Regional Federal da 1ª Região.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " João Felipe Cunha Pereira (131197/OAB-RJ), representando GSI Serviços Especializados Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900302025, modalidade Pregão e Uasg 90062 (Objeto: Serviços de limpeza e conservação.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32605721"
"ACÓRDÃO", "ACÓRDÃO 80/2026 ATA 1/2026 - SEGUNDA CÂMARA", "27/01/2026", "JORGE OLIVEIRA", "PEDIDOS DE REEXAME EM REPRESENTAÇÃO. MUNICÍPIO DE CAMPINA GRANDE/PB. AQUISIÇÃO DE MEDICAMENTOS DE ATENÇÃO BÁSICA. AUDIÊNCIAS. MULTAS. RAZÕES RECURSAIS INSUFICIENTES PARA MODIFICAR O MÉRITO DO ACÓRDÃO RECORRIDO. NEGATIVA DE PROVIMENTO.", "044.502/2021-4", "REPRESENTAÇÃO (REPR)", "3. Responsáveis e Recorrentes:<br>3.1. Responsáveis: Filipe Araújo Reul (051.405.774-29); José Fernandes Mariz (549.605.924-00); Luís Villander Rodrigues de Farias (063.252.554-10); Luzia Maria Marinho Leite Pinto (436.777.114¿87); Riccelly Naro Guimarães (037.362.804-83)<br>3.2. Recorrentes: Luís Villander Rodrigues de Farias (063.252.554-10); Filipe Araújo Reul (051.405.774-29)", " Município de Campina Grande/PB", " não atuou", " Unidade de Auditoria Especializada em Recursos (AudRecursos)", " Itamara Monteiro Leitão (OAB/PB 17.238), representando Filipe Araújo Reul; Johnson Gonçalves de Abrantes (OAB/PB 1.663), Rebeka Manoella Lins Nunes (OAB/PB 22.082) e outros, representando Secretaria Municipal de Saúde de Campina Grande; Itamara Monteiro Leitão (OAB/PB 17.238), representando Luzia Maria Marinho Leite Pinto", "Pedidos de reexame interpostos por Luís Villander Rodrigues de Farias e Filipe Araújo Reul, bem como a manifestação protocolada por Luzia Maria Marinho Leite Pinto, em face do Acórdão 5.167/2024-2ª Câmara, que apreciou representação encaminhada pelo Tribunal de Contas do Estado da Paraíba (TCE/PB) apontando irregularidades na aquisição de medicamentos destinados às Unidades Básicas de Saúde da Família do município de Campina Grande/PB, no exercício de 2018.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=902293"
"ACÓRDÃO", "ACÓRDÃO 63/2026 ATA 1/2026 - PRIMEIRA CÂMARA", "27/01/2026", "WALTON ALENCAR RODRIGUES", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. SERVIÇOS DE ENGENHARIA AGRONÔMICA. CONTROLE DE PRAGA QUARENTENÁRIA (MOSCA-DA-CARAMBOLA). INCONSISTÊNCIA ENTRE O EDITAL E O JULGAMENTO DA HABILITAÇÃO TÉCNICA. FALHA FORMAL. PREVALÊNCIA DO INTERESSE PÚBLICO. PROCEDÊNCIA PARCIAL. CIÊNCIA. ARQUIVAMENTO.", "017.288/2025-8", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Interessados: Assessoria Especial de Controle Interno do Ministério da Agricultura e Pecuária; Coordenação Geral de Execução Financeira - Mapa (00.396.895/0011-05).", " Coordenação Geral de Execução Financeira - MAPA.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Lana Karina Pinon Nery (3.762-B/OAB-AP), representando Dedetizadora Romar Ltda.", "Representação referente à licitação que tinha por objeto a contratação de serviços de engenharia agronômica, com dedicação exclusiva de mão de obra, para monitoramento e controle de mosca-da-carambola (Bactrocera carambolae) nos estados do Amapá, Roraima e no município de Almeirim, no Pará.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=901888"
"ACÓRDÃO", "ACÓRDÃO 25/2026 ATA 1/2026 - PLENÁRIO", "21/01/2026", "BENJAMIN ZYMLER", "DENÚNCIA. CONHECIMENTO. PROIBIÇÃO DE CONSÓRCIOS DE LICITANTE. USO DO PREGÃO PARA CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE APOIO TÉCNICO E FISCALIZAÇÃO NAS ÁREAS DE ENGENHARIA E ARQUITETURA COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. OITIVA PRÉVIA. PROCEDÊNCIA PARCIAL. DETERMINAÇÃO PARA NÃO RENOVAÇÃO DOS CONTRATOS DECORRENTES DO CERTAME. CIENTIFICAÇÕES. ARQUIVAMENTO.", "019.990/2025-1", "DENÚNCIA (DEN)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Identidade preservada (art. 55, caput, da Lei n. 8.443/1992).<br>3.2. Responsável: Identidade preservada (art. 55, caput, da Lei n. 8.443/1992).", " Fundação Universidade Federal de Ciências da Saúde de Porto Alegre.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Julio de Souza Comparini (297284/OAB-SP) e Gabriel Costa Pinheiro Chagas (305149/OAB-SP), representando o denunciante.", "Denúncia a respeito de possíveis irregularidades em pregão eletrônico que tem por objeto o registro de preços de serviços continuados de apoio técnico e fiscalização em engenharia e arquitetura, com dedicação exclusiva de mão de obra.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=903109"
"ACÓRDÃO", "ACÓRDÃO 2949/2025 ATA 50/2025 - PLENÁRIO", "08/12/2025", "JORGE OLIVEIRA", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. ENAP. CONTRATAÇÃO DE SERVIÇOS DE TI SEM DEDICAÇÃO DE MÃO DE OBRA. INDÍCIOS DE IRREGULARIDADES NA CONDUÇÃO DO CERTAME. EXIGÊNCIA DE PREENCHIMENTO DE PLANILHAS DE ENCARGOS SOCIAIS E ATENDIMENTO A PISO SALARIAL DEFINIDO NO EDITAL. PREJUÍZO À OBTENÇÃO DA MELHOR PROPOSTA. SUSPENSÃO CAUTELAR DA CONTRATAÇÃO. REFERENDO DA MEDIDA ADOTADA.", "021.772/2025-8", "REPRESENTAÇÃO (REPR)", "3. Representante/Interessados:<br>3.1. R5 Inteligência Digital Ltda.<br>3.2. Interessados: Fundação Escola Nacional de Administração Pública; Logiks Consultoria e Serviços em Tecnologia da Informação Ltda. (07.696.132/0001-49)", " Fundação Escola Nacional de Administração Pública", " não atuou", " Unidade de Auditoria Especializada em Contratações (AudContratações)", " Elaine Nogueira da Silva (OAB/DF 29.371), representando R5 Inteligência Digital Ltda.", "Referendo de cautelar em representação acerca de possíveis irregularidades em pregão eletrônico que teve por objeto a contratação de serviços de qualidade em desenvolvimento, manutenção, sustentação, testes de software e apoio à governança de TIC.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=902829"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2831/2025 ATA 49/2025 - PLENÁRIO", "03/12/2025", "AUGUSTO SHERMAN", "", "018.850/2025-1", "REPRESENTAÇÃO (REPR)", "", " Universidade Federal de Santa Maria.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Eric Luis Silva Mayer (125804/OAB-RS) e Marlus Zambarda Tombesi, representando Sulclean Serviços Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900942025, modalidade Pregão e Uasg 153164 (Objeto: Contratação de empresa especializada na prestação de serviços continuados de apoio administrativo, com dedicação exclusiva de mão-de-obra, para as unidades da Universidade Federal de Santa Maria localizadas em Santa Maria/RS, Frederico Westphalen/RS, Palmeira das Missões/RS, Silveira Martins/RS e Cachoeira do Sul/RS.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32196755"
"ACÓRDÃO", "ACÓRDÃO 6833/2025 ATA 43/2025 - SEGUNDA CÂMARA", "02/12/2025", "JORGE OLIVEIRA", "TOMADA DE CONTAS ESPECIAL. FUNDO NACIONAL DE SAÚDE. CONTRATO FIRMADO ENTRE O MINISTÉRIO DA SÁUDE E A EMPRESA INFORTECH INFORMÁTICA LTDA. AUSÊNCIA DE COMPROVAÇÃO DA EXECUÇÃO DOS SERVIÇOS CONTRATADOS. DANO AO ERÁRIO. CITAÇÃO DOS RESPONSÁVEIS. ALEGAÇÕES DE DEFESA INSUFICIENTES PARA DESCARACTERIZAR A IRREGULARIDADE E A CULPABILIDADE DOS RESPONSÁVEIS. IRREGULARIDADE DAS CONTAS. DÉBITO. MULTAS. AUTORIZAÇÃO PARA PARCELAMENTO DAS DÍVIDAS.", "000.063/2022-3", "TOMADA DE CONTAS ESPECIAL (TCE)", "3. Responsáveis: Henrique da Cunha Mayrinck (035.146.934-63); Infortech Informatica Ltda. (07.695.627/0001-53); Onesio Lucena Neto (358.852.463-00)", " Fundo Nacional de Saúde/MS", " Subprocurador-Geral Paulo Soares Bugarin", " Unidade de Auditoria Especializada em Tomada de Contas Especial (AudTCE)", " Wanderson de Araujo Silva (OAB/DF 35.861), representando Infortech Informatica Ltda.; Benicio Ferraz Zinato (OAB/DF 26.290), representando Henrique da Cunha Mayrinck", "Tomada de Contas Especial instaurada pelo Fundo Nacional de Saúde - MS em razão de não comprovação da regular aplicação dos recursos repassados pela União, referente ao Contrato 82/2018, firmado entre a Secretaria de Estado da Saúde de Tocantins (SES/TO) e a empresa Infortech Informática Ltda.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=900864"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 8106/2025 ATA 42/2025 - PRIMEIRA CÂMARA", "18/11/2025", "BRUNO DANTAS", "", "017.717/2025-6", "REPRESENTAÇÃO (REPR)", "", " Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES).", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Darly Pontes Ramos Rodrigues (37134/OAB-DF), representando G.S.I - Serviços Especializados Eireli. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900212025, modalidade Pregão (Objeto: Contratação de serviços de motorista com dedicação exclusiva de mão de obra.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32096600"
"ACÓRDÃO", "ACÓRDÃO 2666/2025 ATA 46/2025 - PLENÁRIO", "12/11/2025", "ANTONIO ANASTASIA", "PEDIDO DE REEXAME. DENÚNCIA. SECRETARIA DE ADMINISTRAÇÃO DA CASA CIVIL. PREGÃO ELETRÔNICO COM JULGAMENTO PELO CRITÉRIO DE MENOR PREÇO, PARA CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE ENGENHARIA E ARQUITETURA. PREVISÃO EDITALÍCIA DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE NATUREZA INTELECTUAL. PROCEDÊNCIA PARCIAL, SOB O FUNDAMENTO DE ESCOLHA INADEQUADA DA MODALIDADE DE PREGÃO E DO CRITÉRIO "MENOR PREÇO". AUTORIZAÇÃO DE PROSSEGUIMENTO DO CERTAME SEM PRORROGAÇÃO DO CONTRATO. ARGUMENTOS RECURSAIS APTOS A DEMONSTRAR, NO CASO CONCRETO, QUE A EXIGÊNCIA DE REQUISITOS MAIS RIGOROSOS DE QUALIFICAÇÃO TÉCNICA PODE SER APLICADA EM PREGÕES PARA CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA E ARQUITETURA, DE CARÁTER CONTINUADO E REGIME DE MÃO DE OBRA EXCLUSIVA, SEM CARACTERIZAR SERVIÇOS TÉCNICO ESPECIALIZADOS DE NATUREZA PREDOMINANTEMENTE INTELECTUAL. CONFLITO DE INFORMAÇÕES ENTRE O TERMO DE REFERÊNCIA E AS DEMAIS DISPOSIÇÕES EDITALÍCIAS. PROVIMENTO DO RECURSO. INSUBSISTÊNCIA DO COMANDO QUESTIONADO. CIÊNCIA. A definição dos "requisitos da contratação" nos termos de referência, em conformidade com o art. 6º, inciso XXIII, alínea "d", da Lei 14.133/2021, deve manter rigorosa fidelidade às reais características do objeto pretendido, de modo a evitar a inclusão de exigências incompatíveis com a real natureza dos serviços licitados.", "000.199/2025-7", "DENÚNCIA (DEN)", "3. Interessados/Responsáveis/Recorrentes:<br>3.1. Interessado: Secretaria de Administração da Secretaria Executiva da Casa Civil da Presidência da República (00.394.411/0001-09).<br>3.2. Recorrente: Secretaria de Administração da Secretaria Executiva da Casa Civil da Presidência da República (00.394.411/0001-09).", " Secretaria de Administração da Secretaria Executiva da Casa Civil da Presidência da República.", " não atuou.", " Unidade de Auditoria Especializada em Recursos (AudRecursos); Unidade de Auditoria Especializada em Contratações (AudContratações).", " Gabriel Costa Pinheiro Chagas (305149/OAB-SP), representando o denunciante.", "Pedido de reexame contra acórdão proferido em denúncia sobre possíveis irregularidades em pregão eletrônico realizado com vistas a contratar empresa para prestação de serviços continuados, com mão de obra exclusiva, destinados à melhoria contínua, estudo, planejamento, elaboração e desenvolvimento de projetos de engenharia e de arquitetura no complexo de edificações do órgão.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=900428"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2575/2025 ATA 45/2025 - PLENÁRIO", "05/11/2025", "BRUNO DANTAS", "", "015.959/2025-2", "REPRESENTAÇÃO (REPR)", " Ministério da Gestão e da Inovação em Serviços Públicos (00.489.828/0124-04).", " Ministério da Gestão e da Inovação em Serviços Públicos.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Vinicius Henrique Pereira Bessas (159716/OAB-MG), representando Estrutura Servicos e Engenharia Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900042025, modalidade Pregão e Uasg 170166 (Objeto: Contratação de serviços continuados de limpeza, asseio e conservação, e de manutenção predial, visando a obtenção de adequadas condições de salubridade e higiene, com a disponibilização de mão de obra, saneantes domissanitários, materiais e equipamentos, nas dependências da Superintendência Regional de Administração do Ministério da Gestão e da Inovação em Serviços Públicos - SRA/SC, SPU/SC, CGUR/SC, PFN/SC e Seccionais no Estado de Santa Catarina e SRTE/SC e suas Gerências e Agências no Estado de Santa Catarina, a serem executados com regime de dedicação exclusiva de mão de obra.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32158584"
"ACÓRDÃO", "ACÓRDÃO 7602/2025 ATA 40/2025 - PRIMEIRA CÂMARA", "04/11/2025", "BENJAMIN ZYMLER", "TOMADA DE CONTAS ESPECIAL. MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL. SERVIÇOS DE SECRETARIADO. PAGAMENTO INDEVIDO DE VALE-TRANSPORTE À EMPRESA CONTRATADA, TENDO EM VISTA QUE ALGUNS EMPREGADOS OPTARAM POR NÃO RECEBER TAL BENEFÍCIO. CITAÇÃO DA EMPRESA CONTRATADA. AFASTAMENTO DA RESPONSABILIDADE DOS FISCAIS DO CONTRATO, TENDO EM VISTA QUE IDENTIFICARAM A IRREGULARIDADE. REVELIA DA EMPRESA. CONTAS IRREGULARES. DÉBITO. MULTA. CIÊNCIA.", "008.265/2025-9", "TOMADA DE CONTAS ESPECIAL (TCE)", "3. Interessados/Responsáveis:<br>3.1. Responsável: Brasfort Administração e Serviços Ltda (36.770.857/0001-38).", " Ministério da Integração e do Desenvolvimento Regional.", " Subprocurador-Geral Lucas Rocha Furtado.", " Unidade de Auditoria Especializada em Tomada de Contas Especial (AudTCE).", " não há", "Tomada de contas especial instaurada em razão do pagamento indevido de vale-transporte no âmbito do contrato de prestação de serviços de secretariado em Brasília, Belém/PA, Recife/PE, Rio de Janeiro/RJ e Porto Alegre/RS.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=900433"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 6478/2025 ATA 40/2025 - SEGUNDA CÂMARA", "04/11/2025", "JORGE OLIVEIRA", "", "011.206/2025-0", "REPRESENTAÇÃO (REPR)", " Instituto Federal de Educação, Ciência e Tecnologia Baiano (10.724.903/0001-79)", " Instituto Federal de Educação, Ciência e Tecnologia Baiano", " não atuou", " Unidade de Auditoria Especializada em Contratações (AudContratações)", " Marcus Aurelio Hupsel de Aguiar, representando Higiclean Tecnologia em Higienização e Conservação Eireli", "REPRESENTAÇÃO. Representação referente à licitação com número 902622025, modalidade Pregão e Uasg 158435 (Objeto: Contratação de empresa especializada na prestação de serviços terceirizados, de natureza contínua, para atender demanda do Instituto Federal de Educação, Ciência e Tecnologia Baiano, a serem executados com regime de dedicação exclusiva de mão de obra, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos. conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32213472"
"ACÓRDÃO", "ACÓRDÃO 6389/2025 ATA 40/2025 - SEGUNDA CÂMARA", "04/11/2025", "AUGUSTO NARDES", "REPRESENTAÇÃO. SFA/RJ. PREGÃO. SERVIÇOS DE VIGILÂNCIA. INCONSISTÊNCIA ENTRE TERMO DE REFERÊNCIA E ESTUDO TÉCNICO PRELIMINAR. PREVISÃO PARA ENVIO DE PEDIDOS DE IMPUGNAÇÃO E ESCLARECIMENTOS A E-MAIL FUNCIONAL PESSOAL. AUSÊNCIA DE SEGREGAÇÃO DE FUNÇÕES. PREGOEIRO NÃO OCUPANTE DE CARGO EFETIVO. INDEFERIMENTO DE CAUTELAR. CIÊNCIA DAS IRREGULARIDADES.", "018.350/2025-9", "REPRESENTAÇÃO (REPR)", "3. Representante: Ogvig Segurança e Vigilância Patrimonial Ltda. (26.344.455/0001-18).", " Superintendência Federal de Agricultura, Pecuária e Abastecimento no Estado do Rio de Janeiro.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Leopoldo Andre Canal Almeida (148.676/OAB-RJ) e Thayane Ribeiro Peres Coutinho (247.644/OAB-RJ), representando a Ogvig Seguranca e Vigilancia Patrimonial Ltda.", "Representação a respeito de possíveis irregularidades ocorridas no Pregão Eletrônico 90002/2025 sob a responsabilidade de Superintendência Federal de Agricultura, Pecuária e Abastecimento no Estado do Rio de Janeiro (SFA/RJ).", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=899685"
"ACÓRDÃO", "ACÓRDÃO 2547/2025 ATA 43/2025 - PLENÁRIO", "29/10/2025", "BRUNO DANTAS", "REPRESENTAÇÃO DETERMINADA PELO TCU. MINISTÉRIO DA SAÚDE. CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE ARMAZENAGEM E TRANSPORTE MULTIMODAL DOS INSUMOS ESTRATÉGICOS PARA A SAÚDE (IES). REVOGAÇÃO DO PREGÃO ELETRÔNICO 32/2022. INVIABILIZAÇÃO DE CUMPRIMENTO DE DETERMINAÇÃO DESTE TRIBUNAL. MANUTENÇÃO DE EXECUÇÃO DE SERVIÇOS SEM COBERTURA CONTRATUAL. AUDIÊNCIAS. CONHECIMENTO. ACOLHIMENTO DAS RAZÕES DE JUSTIFICATIVA. IMPROCEDÊNCIA. ARQUIVAMENTO.", "028.533/2024-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Responsáveis: Anderson Lozi da Rocha (804.255.771-04); Lenice Guimarães Araújo (699.531.981-87).", " Ministério da Saúde.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Priscilla Rolim de Almeida (20144/OAB-CE), Talita Maiara Sampaio Batalha (26348/OAB-CE) e outros, representando Lenice Guimarães Araújo; Priscilla Rolim de Almeida (20144/OAB-CE), Talita Maiara Sampaio Batalha (26348/OAB-CE) e outros, representando Anderson Lozi da Rocha.", "Representação constituída para apurar possíveis irregularidades na revogação de pregão eletrônico para a contratação de serviços continuados de armazenagem e transporte multimodal de Insumos Estratégicos para a Saúde (IES).", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=895419"
"ACÓRDÃO", "ACÓRDÃO 2520/2025 ATA 43/2025 - PLENÁRIO", "29/10/2025", "WALTON ALENCAR RODRIGUES", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. POLÍCIA RODOVIÁRIA FEDERAL. SERVIÇOS DE VIGILÂNCIA. APRESENTAÇÃO DE DECLARAÇÃO FALSA. REPRESENTAÇÃO PARCIALMENTE PROCEDENTE. ACOLHIMENTO DAS JUSTIFICATIVAS DO PREGOEIRO E DA EMPRESA TAWRUS. REVELIA DA EMPRESA CLÃ E DO GESTOR QUE HOMOLOGOU O CERTAME. INIDONEIDADE DA EMPRESA CLÃ. ARQUIVAMENTO.", "017.759/2024-2", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis:<br>3.1. Interessado: 3º Distrito Regional de Polícia Rodoviária Federal/am - Mj (00.394.494/0105-22).<br>3.2. Responsáveis: Benjamin Affonso Neto (476.045.812-34); Cla Vigilancia Privada Ltda (26.535.662/0004-00); Gustavo Herzog Milagre (133.288.277-30); Tawrus Segurança e Vigilância Ltda (09.406.386/0001-00).", " 3º Distrito Regional de Polícia Rodoviária Federal/am - MJ.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Joao Marcos Sales (28252/OAB-CE), representando Amazon Security Ltda.", "Representação sobre possíveis irregularidades em pregão eletrônico que teve por objeto a prestação de serviços continuados de Vigilância e Segurança armada.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=898328"
"ACÓRDÃO", "ACÓRDÃO 2474/2025 ATA 42/2025 - PLENÁRIO", "22/10/2025", "AUGUSTO SHERMAN", "REPRESENTAÇÃO. UNIVERSIDADE FEDERAL DO RIO GRANDE (FURG). CERTAME PARA CONTRATAÇÃO DE SERVIÇOS CONTÍNUOS DE CONSERVAÇÃO E MANUTENÇÃO PREDIAL E ELÉTRICA. AUSÊNCIA DE PLAUSIBILIDADE JURÍDICA DAS ALEGAÇÕES DO REPRESENTANTE. CONHECIMENTO. INDEFERIMENTO DA MEDIDA CAUTELAR. IMPROCEDÊNCIA. ARQUIVAMENTO.", "018.355/2025-0", "REPRESENTAÇÃO (REPR)", "3. Interessados/Responsáveis: não há.", " Fundação Universidade Federal do Rio Grande.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Eric Luis Silva Mayer (OAB/RS 125.804) e Marlus Zambarda Tombesi, representando Sulclean Serviços Ltda.", "Representação a respeito de possíveis irregularidades ocorridas em pregão eletrônico para contratação de serviços contínuos de conservação e manutenção predial e elétrica.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=899598"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2408/2025 ATA 42/2025 - PLENÁRIO", "22/10/2025", "AROLDO CEDRAZ", "", "017.927/2025-0", "DENÚNCIA (DEN)", " Identidade preservada (art. 55, caput, da Lei n. 8.443/1992).", " Universidade Federal Rural da Amazônia.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "DENÚNCIA. Denúncia referente ao contrato com número 172022 e códigoUasg 153034 (Objeto: contratação de empresa especializada para prestação deserviço contínuo de apoio administrativo e técnico especializado (integrante da atividade meio), com fornecimento e dedicação exclusiva de mão de obra e insumos necessários, por um período de 12 meses, renováveis conforme a legislação vigente e aplicável, visando atender às necessidades da Universidade Federal Rural da Amazônia (UFRA).)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32023947"
"ACÓRDÃO", "ACÓRDÃO 2332/2025 ATA 40/2025 - PLENÁRIO", "08/10/2025", "JHONATAN DE JESUS", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO CONDUZIDO PELO IFAM PARA CONTRATAÇÃO DE SERVIÇOS DE VIGILÂNCIA ARMADA. DESCLASSIFICAÇÃO DE PROPOSTA POR ALEGADA INEXEQUIBILIDADE. ANÁLISE BASEADA EM ITENS ISOLADOS DA PLANILHA DE CUSTOS E EM CRITÉRIOS SUBJETIVOS DE EXEQUIBILIDADE NÃO PREVISTOS NO EDITAL. ALOCAÇÃO DE CUSTOS DO INTERVALO INTRAJORNADA EM CONFORMIDADE COM NORMATIVO VIGENTE. CONHECIMENTO. PROCEDÊNCIA. DETERMINAÇÃO PARA ANULAÇÃO DO ATO DE DESCLASSIFICAÇÃO E RETORNO DO CERTAME À FASE DE ANÁLISE DA PROPOSTA.", "008.732/2025-6", "REPRESENTAÇÃO (REPR)", "3. Interessado: Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (10.792.928/0001-00).", " Instituto Federal do Amazonas.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Antônio Marcos Matos Ribeiro, representando a Vortex Seguranca Ltda.", "Representação a respeito de possíveis irregularidades em pregão eletrônico para contratação de serviços de vigilância armada.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=897019"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 6893/2025 ATA 34/2025 - PRIMEIRA CÂMARA", "23/09/2025", "BENJAMIN ZYMLER", "", "017.212/2025-1", "REPRESENTAÇÃO (REPR)", "", " Superintendência Regional do Dnit No Estado de Rondônia.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Marcelle Gomes Ferreira dos Santos (249080/OAB-RJ), representando Superintendência Regional do Dnit No Estado de Rondônia. ", "REPRESENTAÇÃO. Representação referente à licitação com número 902632025, modalidade Pregão e Uasg 393014 (Objeto: Contratação de empresa especializada na Prestação de Serviços Contínuos de Vigilância Armada, Guarda Patrimonial e Controle de Circulação de Pessoas, durante 24 (vinte e quatro) horas ininterruptas, com dedicação exclusiva de mão de obra, em caráter subsidiário e temporário, para atender às necessidades da Superintendência Regional do DNIT no Estado de Rondônia.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32010879"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 2060/2025 ATA 35/2025 - PLENÁRIO", "03/09/2025", "MARCOS BEMQUERER", "", "010.839/2025-9", "REPRESENTAÇÃO (REPR)", "", " Empresa Brasileira de Serviços Hospitalares.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Rogério David Carneiro (106005/OAB-RJ), representando M3 Manutenção e Montagens Ltda. ", "Embargos de declaração interposto por M3 Manutenção e Montagens Ltda contra decisão de ...", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=31898135"
